Source,Words,Nodes,Fiedler(λ2),λ3,λ4,spectral gap
AI,216,155,0.488604,0.72911,0.783778,0.240506
AI,194,112,0.491178,1.13317,1.30044,0.641995
AI,213,144,0.268858,0.616649,0.838168,0.347792
AI,156,122,0.443656,0.556514,0.746232,0.112858
AI,208,125,0.632698,0.828234,0.848519,0.195536
AI,260,149,0.828372,0.953459,1.25119,0.125087
AI,248,134,0.982311,1.28436,1.35192,0.302052
AI,201,114,0.872228,0.983624,1.14896,0.111396
AI,261,148,0.159982,0.624075,0.965124,0.464092
AI,197,123,0.0926911,0.726,0.986384,0.633309
AI,223,138,0.32278,1.16415,1.18654,0.841368
AI,228,149,0.457156,0.622988,0.933776,0.165832
AI,252,176,0.343302,0.534122,0.549053,0.19082
AI,258,165,0.628806,0.851105,0.892065,0.222299
AI,257,159,0.105008,0.631904,0.836669,0.526895
AI,240,129,0.933611,1.05173,1.08944,0.118116
AI,268,149,0.319151,0.948042,1.27102,0.628891
AI,240,138,0.579087,0.876981,0.969209,0.297894
AI,208,132,0.194731,0.77156,0.932707,0.576829
AI,242,159,0.379425,0.601338,0.798835,0.221913
AI,248,163,0.690725,0.748384,0.892336,0.0576587
AI,228,164,0.198846,0.689467,0.732502,0.490621
AI,218,127,0.328052,0.549043,0.690057,0.220991
AI,266,154,0.283662,0.975843,1.12124,0.692181
AI,223,131,0.207128,0.835872,0.973904,0.628744
AI,229,139,0.469784,0.85373,1.03431,0.383946
AI,196,127,0.544903,0.913314,0.994002,0.368411
AI,171,111,0.71382,0.777449,0.83321,0.0636294
AI,209,149,0.204042,0.571509,0.703793,0.367467
AI,221,150,0.790577,0.845441,0.938272,0.0548645
AI,200,149,0.49484,0.533628,0.656351,0.0387884
AI,227,150,0.676196,0.908927,0.998178,0.232731
AI,226,153,0.435773,0.68441,0.731539,0.248637
AI,242,166,0.506067,0.752474,1.00064,0.246407
AI,230,158,0.697053,0.723236,0.875243,0.0261823
AI,225,153,0.763381,0.901396,0.974694,0.138015
AI,226,156,0.355022,0.530061,0.827149,0.175038
AI,223,154,0.473208,0.512819,0.73494,0.0396109
AI,236,163,0.773982,0.837738,0.974458,0.0637562
AI,237,140,0.85608,0.878793,1.12822,0.0227124
AI,231,145,0.437659,0.879357,0.941153,0.441698
AI,225,139,0.929054,1.13714,1.16118,0.208088
AI,215,152,0.307089,0.694031,0.755228,0.386943
AI,213,151,0.303852,0.535946,0.816444,0.232094
AI,231,133,0.98497,1.04502,1.34235,0.0600513
AI,228,145,0.818028,0.881454,0.987779,0.0634255
AI,221,145,0.729746,0.950704,1.09213,0.220958
AI,225,143,0.900398,0.96949,0.981274,0.0690918
AI,218,146,0.694327,0.772706,0.817811,0.0783793
AI,232,152,0.405287,0.719972,0.777657,0.314685
AI,226,152,0.303025,0.517323,0.772544,0.214298
AI,241,158,0.322787,0.374471,0.583356,0.0516837
AI,232,154,0.758555,0.869485,0.926951,0.11093
AI,236,146,0.79402,0.996394,1.1469,0.202374
AI,223,145,0.72335,0.784258,0.957868,0.0609082
AI,228,142,0.793386,0.889487,1.09166,0.0961011
AI,217,139,0.665674,0.9388,0.977209,0.273127
AI,210,135,0.940661,1.02749,1.16869,0.0868322
AI,221,143,0.590866,0.699184,0.980272,0.108318
AI,214,139,0.450772,0.624274,0.849592,0.173503
AI,219,134,0.886533,1.13985,1.2478,0.253314
AI,223,163,0.215744,0.631379,0.744773,0.415635
AI,227,143,0.656397,0.928803,0.976043,0.272406
AI,222,142,0.355722,0.615444,0.677369,0.259721
AI,213,141,0.605079,0.833369,1.00308,0.228289
AI,217,138,0.730405,0.911154,1.13614,0.180749
AI,212,132,0.613468,0.988661,1.12082,0.375193
AI,205,133,0.669567,0.748163,0.777127,0.0785963
AI,218,140,0.682441,0.751184,0.943003,0.0687423
AI,229,151,0.789088,0.798916,0.886127,0.00982806
AI,217,150,0.6076,0.775464,0.790577,0.167865
AI,224,143,0.663161,1.0014,1.10045,0.338238
AI,204,142,0.602904,0.824552,0.932799,0.221648
AI,225,141,0.714002,0.76495,0.969286,0.0509488
AI,224,142,0.890762,0.938122,0.997431,0.0473599
AI,213,139,0.722304,0.7766,0.903552,0.0542963
AI,237,149,0.57553,0.881714,0.924302,0.306184
AI,219,139,0.658949,0.939348,1.16786,0.280398
AI,227,159,0.483984,0.627688,0.668408,0.143704
AI,230,145,0.538774,0.604062,0.813928,0.0652881
AI,223,143,0.737202,0.867621,1.07581,0.130419
AI,223,134,0.689976,0.903119,1.45949,0.213143
AI,231,142,0.544406,0.963607,1.08437,0.419201
AI,215,134,0.707022,0.85762,0.936677,0.150598
AI,376,273,0.394939,0.582309,0.607497,0.18737
AI,356,262,0.314302,0.366419,0.533917,0.0521174
AI,356,244,0.360363,0.526755,0.653187,0.166392
